eom,market,accruals,debt_issuance,investment,low_leverage,low_risk,momentum,profit_growth,profitability,quality,seasonality,short_term_reversal,size,value
1990-01-31,-0.077717351,-0.00665757991188315,0.0065793605157933,0.00824377987698424,0.00931499063281016,0.0191950489956423,0.00243817618627678,-0.0118804689874106,-0.00418216243691625,0.00366864179156197,-0.00304990745529549,0.00246571029362655,0.00651245621410708,0.00394783593319442
1990-02-28,0.009757826,0.000109278124529486,0.00250240693998446,-0.00543688776357113,0.00808248041016909,-0.0145254950548683,-0.00188068185099162,0.0065265057758157,0.00125426475028619,0.00017902269948048,0.000772363516454456,0.00228343330310976,0.00375016960762791,-0.00230652858760355
1990-03-31,0.0186337854,-0.0127560250286389,0.00496363629632903,-0.0154499820475138,0.0170120696329898,-0.0117260153886313,-0.00372632993531767,0.00433026148566187,0.0127903481139561,0.0320379001069923,0.00182200294435304,0.00481899537904393,0.00268466061892628,-0.0147034312915458
1990-04-30,-0.03520738,-0.00983242294985516,0.00039378840166469,-0.0121035033230557,0.00851672147619633,0.00328253469214907,0.00702722392248076,0.00520284324397627,0.0129411273653701,0.023628454628015,0.00322568133926935,-0.00641464370442167,-0.00413378773577751,-0.0136844332995473
1990-05-31,0.0843197599,-0.00869689407844974,-0.000544416869847337,-0.0216979525055004,0.0157137194179452,-0.0293245067691126,0.0139824417400193,0.0108837686830936,0.0235764636533655,0.0188910413959597,-0.00724198893834171,-0.00116269334911319,-0.0294766500769804,-0.0260474248449756
1990-06-30,-0.010138931,-0.00779082670860157,0.00348591770630836,-0.00527198749207096,0.00953509139459469,0.00453670879654514,0.0168907532293546,0.00865464883099703,0.00405338956618912,0.0148412894955727,0.00371584951252684,-0.00233049101943503,0.00731107527535692,-0.010202342622323
1990-07-31,-0.016812004,0.00971657527597931,0.00981177057938485,0.0163815962330204,-0.0124454908706444,0.0297023523335249,0.0206040977649939,0.00857441457919996,0.00730540249920712,0.00809532177692923,0.00365235604546027,0.0059318946939608,-0.0246035987111456,0.0155345264050675
1990-08-31,-0.098916095,0.0110108856235804,0.00569035320001292,0.018725637877205,-0.00645571487878388,0.0291197541005563,0.00769263924140061,0.00787330455296269,0.00169296436810546,-0.0050551365712829,-0.000774516659851971,-0.0177985211007902,-0.0192176610184525,0.00690100945024648
1990-09-30,-0.060061502,-0.00838462502240576,0.00536537204742225,0.0177309933869367,-0.00846436722934347,0.0500959771989771,0.0424352403888412,0.00805505972184462,0.00623282579857417,0.0113330310028628,0.0109018457953591,-0.0115217726599482,-0.029361952864259,0.000326652030233839
1990-10-31,-0.019403882,-0.0214882824180883,0.00348674310493456,0.00558575453894162,-0.00400799228144276,0.0362765440993501,0.0455855678431354,0.00778710860656775,0.0237809124299051,0.0232878836756695,0.0139519563682618,-0.00054950445509403,-0.0346581661620639,-0.00199759399517179
